"plot","treeNum","DBH_cm","height_m","species","dOut_m","dSideR_m","dSideL_m","notes","percentLive","plotNum"
1,1,44.3,13.5,"PYGE",1.8,4.96,NA,"Abgr, yellow needles, cones",96,1
1,2,34.4,9.2,"PYGE",7.9,2.59,NA,"Abgr, cones",96,1
1,3,0,1.2,"ABCO",25.7,1.6,NA,"yellow needles",97,1
1,4,0,1.1,"ABCO",32.3,NA,"-3.94","yellow needles",97,1
10,1,0,1,"ABCO",1.4,4.5,NA,"CROOK",98,10
10,2,59.7,13.9,"ABCO",1.5,1.8,NA,"BROKE, SD",0,10
10,3,12.2,4.4,"ABCO",2.7,3,NA,NA,97,10
10,4,4.5,2.5,"ABCO",6.8,0.2,NA,NA,96,10
10,5,39.2,23.5,"ABCO",7.1,1.8,NA,NA,99,10
10,6,31.8,20.8,"ABCO",8.6,0.5,NA,NA,98,10
10,7,8.4,4.8,"ABCO",7.1,3.2,NA,"sparse",99,10
10,8,12.5,6.5,"ABCO",9.6,1.2,NA,NA,98,10
10,9,43.8,23.1,"ABCO",11,4.5,NA,NA,98,10
10,10,25.2,12.7,"ABCO",17.4,0.4,NA,NA,98,10
10,11,10.1,8.3,"ABCO",17.6,1,NA,"LEAN, sparse",99,10
10,12,1.5,1.8,"ABCO",17.5,1,NA,"sparse",97,10
10,13,24.3,15,"ABCO",18.4,4.8,NA,NA,97,10
10,14,20.1,9.3,"ABMA",21.6,0.7,NA,NA,98,10
10,15,24,14.2,"ABCO",24.2,0.01,NA,NA,99,10
10,16,2.4,2,"ABCO",24.3,2.5,NA,"old dtop, FORK, ABGR",98,10
10,17,25.6,10.2,"ABCO",24.4,2.7,NA,"FORK, ABGR",97,10
10,18,10.7,7,"ABCO",25.4,0.3,NA,"LEAN, CROOK, MECH",96,10
10,19,2.4,1.6,"ABCO",25.6,0.5,NA,"LEAN",97,10
10,20,102.3,52.2,"ABCO",35.9,0.01,NA,NA,97,10
10,21,3.6,2.3,"ABMA",38.5,3.5,NA,NA,99,10
10,22,10.2,4.8,"ABMA",41,2.5,NA,NA,98,10
10,23,13.4,6.5,"ABCO",41.4,0.5,NA,NA,99,10
10,24,5,2.8,"ABMA",42.1,2.4,NA,NA,98,10
10,25,8.8,5.2,"ABCO",42,4.2,NA,NA,98,10
10,26,1.1,1.4,"ABMA",41.2,4.6,NA,"LEAN",96,10
10,27,25.2,14,"ABMA",44.3,2.6,NA,"bent top, 2 flags, pitching",95,10
10,28,2.1,1.9,"ABCO",45.7,1,NA,NA,99,10
10,29,0,1.35,"ABCO",46.1,0.9,NA,NA,100,10
10,30,108.5,33.9,"ABMA",48.8,5,NA,"flaglets",97,10
10,31,7.9,3.8,"ABCO",6.3,NA,"-0.8",NA,99,10
10,32,16.5,9.3,"ABCO",9,NA,"-0.9",NA,98,10
10,33,12,6.4,"ABCO",16.6,NA,"-1.7",NA,99,10
10,34,37.5,18.7,"ABCO",17.4,NA,"-1.6",NA,98,10
10,35,2.5,2.15,"ABCO",17,NA,"-1.6",NA,99,10
10,36,18.7,7.8,"ABCO",17.8,NA,"-3.4",NA,98,10
10,37,26.2,15.6,"ABCO",18.8,NA,"-4.5",NA,99,10
10,38,11.5,7.4,"ABCO",19.5,NA,"-3",NA,98,10
10,39,35.9,15,"ABCO",20.9,NA,"-2.7",NA,95,10
10,40,93.3,34.5,"ABCO",21.7,NA,"-4","SD, lichen",0,10
10,41,14.6,6.5,"ABCO",22.2,NA,"-2.4","cryptoporus, SD",0,10
10,42,7.5,4.5,"ABCO",22.4,NA,"-3","LEAN, mech bc fallen tree, sparse",95,10
10,43,24,14.3,"ABCO",22.9,NA,"-2.8","flag",97,10
10,44,6.7,3.3,"ABCO",23.1,NA,"-2.6","LEAN",97,10
10,45,0,1.35,"ABCO",22.9,NA,"-3","LEAN(as in horizonal) sparse",98,10
10,46,4.1,3.2,"ABCO",24.8,NA,"-3.6","lean, sparse",97,10
10,47,40.8,23.1,"ABCO",25.1,NA,"-3.6","pitching",97,10
10,48,110.9,27.5,"ABCO",34.6,NA,"-2","SD. broke, wood borer, lichen",0,10
10,49,40.8,18.9,"ABCO",36,NA,"-2.9","flags near bottom",93,10
10,50,4.6,2.4,"ABCO",43,NA,"-1.8","MECH, missing branches",98,10
10,51,1.9,1.7,"ABCO",43.5,NA,"-4.1",NA,97,10
11,1,16,6.9,"ABCO",0.9,1.2,NA,"flaglets",99,11
11,2,10.2,5.1,"ABCO",1,2.1,NA,"flaglets",98,11
11,3,12.9,6.2,"ABCO",1.6,2.25,NA,"flaglets",99,11
11,4,42.6,14.9,"CADE",3.2,NA,"-2",NA,0,11
11,5,19.4,9.1,"CADE",5.3,NA,"-3.9","flaglets, supp by big tree",95,11
11,6,38.1,15.4,"CADE",6.1,NA,"-4.7","healthy",99,11
11,7,45.8,16,"CADE",13.6,2.15,NA,"supp, healthy",99,11
11,8,8.7,4,"CADE",23.6,1.9,NA,"flaglets",97,11
11,9,6.9,3.7,"ABCO",24.4,3.2,NA,"healthy",100,11
11,10,42.7,14.8,"CADE",31.4,0.01,NA,"healthy",98,11
11,11,31.7,15.6,"ABCO",31.6,NA,"-5","supp on one side",97,11
11,12,32.9,12.6,"CADE",32.05,NA,"-0.5","supp one side",96,11
11,13,53.8,26.3,"ABCO",34.4,NA,"-3.5","flags (dead)",0,11
11,14,16.8,7.4,"ABCO",35.4,NA,"-3.6",NA,0,11
11,15,53.9,21,"ABCO",35.6,NA,"-1.9","flaglets",98,11
11,16,81.8,36.4,"PIPO",38.3,NA,"-1.5","healthy",98,11
11,17,13.2,4.4,"CADE",38.7,5,NA,"thin, flags",90,11
11,18,28.2,11.7,"CADE",39,4.9,NA,"healthy, flaglets",99,11
11,19,60.6,26.4,"ABCO",41.4,0.2,NA,"healthy",99,11
11,20,38.8,16.5,"CADE",49.5,0.15,NA,"flaglets",98,11
12,1,7.9,3.7,"CADE",49.9,NA,"-0.8","sparse, blackened",78,12
12,2,27.2,9.4,"CADE",47.6,NA,"-1.2",NA,86,12
12,3,13.8,8.4,"PIPO",47.4,NA,"-0.8","suppressed",95,12
12,4,20,7,"CADE",45.7,NA,"-0.01",NA,92,12
12,5,25.9,12.1,"ABCO",45.6,2.4,NA,NA,0,12
12,6,8.1,3,"ABCO",45.6,2.4,NA,"offshoot of tree 5",0,12
12,7,37.9,25.3,"PIPO",47.6,3.9,NA,NA,98,12
12,8,19.2,10.9,"CADE",45.6,5,NA,"blackened",92,12
12,9,17.3,6.7,"CADE",47.5,NA,"-2.8",NA,95,12
12,10,14.5,5.7,"ABCO",43.9,NA,"-0.8","Leaning due to fallen tree, multiple leaders",96,12
12,11,10.3,5.8,"CADE",43.9,NA,"-0.8","blackened",55,12
12,12,22.8,11.6,"CADE",43.2,0.01,NA,NA,95,12
12,13,6.1,3.3,"CADE",42.9,3.9,NA,"some red needles left",0,12
12,14,20.3,12.9,"CADE",41.8,4.6,NA,NA,82,12
12,15,15.4,7.4,"CADE",42.9,NA,"-0.5",NA,90,12
12,16,4.3,3.2,"CADE",42.6,NA,"-0.5",NA,0,12
12,17,8.9,5.1,"CADE",43.1,0.9,NA,NA,81,12
12,18,25.9,12,"CADE",40.6,3.8,NA,NA,85,12
12,19,9.3,4.1,"CADE",40.5,NA,"-1.4",NA,0,12
12,20,41.4,13.4,"CADE",39.4,NA,"-0.4","old DTOP, multiple leaders",94,12
12,21,23.4,8,"CADE",37.4,NA,"-3","suppressed and blackened",87,12
12,22,37.4,12.9,"CADE",36.8,NA,"-1.8",NA,95,12
12,23,36.2,35.1,"PIPO",36.2,NA,"-0.01",NA,98,12
12,24,81.5,45.6,"PIPO",38.3,1.7,NA,"sapsucker?",99,12
12,25,15.5,6.4,"CADE",37,2.9,NA,"multiple leaders, weird (see data sheet for Taz's picture)",0,12
12,26,10,5,"CADE",37.1,5,NA,"sparse",98,12
12,27,5,2.3,"CADE",36.8,2.2,NA,"maybe not a CADE--a little too old to tell",0,12
12,28,42.2,19,"CADE",34.3,4.4,NA,NA,95,12
12,29,27,11,"CADE",34.3,4.4,NA,NA,93,12
12,30,0,1,"CADE",30,NA,"-3.4","a few red needles left",0,12
12,31,16,9.2,"PIPO",23.8,4.7,NA,NA,99,12
12,32,4,1.75,"PIPO",23.7,2.2,NA,"bent over, too old/small to be sure that it's PIPO",0,12
12,33,144.1,49.3,"PIPO",22.2,0.2,NA,NA,99,12
12,34,7.8,4.3,"PIPO",22.2,3.1,NA,NA,0,12
12,35,5.3,2.3,"PIPO",22.4,3.2,NA,NA,96,12
12,36,12,7.7,"PIPO",22.1,4.7,NA,NA,98,12
12,37,6.9,4,"PIPO",21,3.5,NA,NA,97,12
12,38,43.5,28.5,"PIPO",16.2,NA,"-4.5","few flags near the bottom--could be suppression",98,12
12,39,30.8,26.9,"PIPO",15.8,NA,"-2.6",NA,100,12
12,40,15.8,6.9,"CADE",14.9,NA,"-3.7","all needles drying, blackened",7,12
12,41,44.8,16.8,"CADE",14.7,NA,"-3.2",NA,93,12
12,42,5.9,3.9,"CADE",13.3,NA,"-3.3",NA,0,12
12,43,12.2,64,"CADE",13.1,NA,"-4",NA,0,12
12,44,34.4,28.9,"PIPO",13,NA,"-2.6",NA,98,12
12,45,24.8,11.9,"CADE",12.6,NA,"-3.2",NA,0,12
12,46,41.9,15.2,"CADE",13.5,0.9,NA,NA,0,12
12,47,61,36.7,"PIPO",11.7,2.1,NA,NA,98,12
12,48,64.5,39.8,"PIPO",12.1,NA,"-4.2",NA,99,12
12,49,28.6,12.9,"CADE",11.3,NA,"-4.9",NA,79,12
12,50,13.3,5.8,"CADE",10.4,NA,"-4.5",NA,0,12
12,51,15.4,9,"CADE",10.4,NA,"-4","blackened",0,12
12,52,29,13.8,"CADE",10.9,NA,"-0.7",NA,80,12
12,53,7,3.2,"CADE",10.9,3.2,NA,"blackened, needles drying",3,12
12,54,13.2,7,"CADE",11,4.8,NA,"sparse, blackened",85,12
12,55,13.1,6.7,"CADE",10.8,4.8,NA,"blackened",0,12
12,56,43.3,29.1,"PIPO",9.8,2.3,NA,NA,100,12
12,57,26.8,15.5,"CADE",7.9,NA,"-2.3","old DTOP",93,12
12,58,31.6,11.6,"CADE",7.6,NA,"-2.9",NA,94,12
12,59,13.1,9.2,"CADE",7.4,0.7,NA,NA,0,12
12,60,7.8,4,"CADE",7.3,1.3,NA,NA,95,12
12,61,21.6,24,"PIPO",7,2.7,NA,NA,97,12
12,62,27,10.5,"CADE",6.5,1.9,NA,NA,78,12
12,63,1.9,1.6,"CADE",6.3,1.9,NA,NA,0,12
12,64,17,9,"CADE",5.9,NA,"-1.2",NA,15,12
12,65,13.2,6.1,"CADE",5.3,NA,"-0.7",NA,0,12
12,66,11.1,5.5,"CADE",3.9,NA,"-0.4",NA,0,12
12,67,39.8,31.6,"PIPO",2.8,NA,"-3.1",NA,98,12
12,68,11.3,5.8,"CADE",1.9,NA,"-3.6",NA,0,12
12,69,31.8,6.1,"QUKE",1.3,NA,"-2.3","sparse",99,12
12,70,13.2,2.5,"QUKE",0.9,NA,"-2.7",NA,0,12
12,71,24.4,1.6,"QUKE",0.4,NA,"-2.7",NA,0,12
12,72,10.3,4.4,"CADE",0.4,NA,"-3.2",NA,0,12
12,73,19,10.4,"CADE",0.2,NA,"-3.6",NA,88,12
12,74,17.4,11.9,"CADE",0,NA,"-3.8",NA,92,12
12,75,18.3,9.9,"CADE",0.7,NA,"-3.5",NA,0,12
12,76,10.8,3.6,"CADE",0.5,NA,"-4",NA,0,12
12,77,78.9,31.4,"CADE",4.7,4.6,NA,NA,90,12
12,78,11.9,5.6,"CADE",4.1,1.7,NA,NA,91,12
12,79,11,6.1,"CADE",3.4,2,NA,NA,60,12
12,80,13,4.5,"CADE",2.8,2.5,NA,NA,0,12
12,81,40,7.4,"QUKE",2.1,1.1,NA,NA,0,12
12,82,7.4,3.5,"CADE",2.2,0.7,NA,"DBH estimated because obstructed",0,12
12,83,10,7.3,"CADE",1.7,1,NA,NA,95,12
12,84,4.8,4.3,"CADE",1.7,1.7,NA,"DBH estimated because obstructed",0,12
12,85,16.1,7.3,"CADE",1.4,0.9,NA,NA,97,12
12,86,2.5,1.5,"CADE",1.3,1.1,NA,NA,0,12
13,1,16.7,7.5,"ABCO",1.25,0.8,NA,"crypto, crisp",0,13
13,2,9,4.8,"ABCO",2.2,1.5,NA,"crisp",0,13
13,3,26.3,12.1,"ABCO",4.5,NA,"-1.9","burned",0,13
13,4,12.3,6,"ABCO",5.1,NA,"-1.7","crook, crypto",0,13
13,5,16.6,12.9,"ABCO",12.5,1.7,NA,"burned, crypto",0,13
13,6,41.6,19.9,"ABCO",13,0.6,NA,"burned, crypto",0,13
13,7,20.8,12.5,"ABCO",12.7,4.3,NA,"burned, crpyto",0,13
13,8,64.7,34.8,"ABCO",13.2,3.9,NA,"fire scar ~8m",20,13
13,9,16.9,8.1,"ABCO",14,NA,"-2.6","burned, crypto, fire scar ~5m",0,13
13,10,43.2,27.2,"ABCO",14,NA,"-0.7","burned, fire scar ~8m",0,13
13,11,10.9,5.6,"CADE",16.9,4.1,NA,"burned",0,13
13,12,42.8,3.2,"ABCO",20.7,NA,"-4.1","crisp, sloughing bark",0,13
13,13,24.4,11.5,"ABCO",24.8,5,NA,"burned, fire scar ~6m",0,13
13,14,14.9,9.7,"ABCO",32,NA,"-4.3","burned",0,13
13,15,9.3,1.8,"CADE",33.5,NA,"-4.2","burned",0,13
13,16,15.5,7.4,"CADE",34.6,NA,"-3.2","burned",0,13
13,17,100,3.6,"CADE",37.6,NA,"-2.9","very burned, pretty sure it is a CADE. crisp, hollow, broke",0,13
13,18,37.7,18,"ABCO",38.9,0,NA,"broke, burned",0,13
13,19,12,4.7,"CADE",45.5,0,NA,"burned, broke",0,13
13,20,35.1,6.4,"CADE",49.6,NA,"-1.3","crisp",0,13
13,21,9.9,6.2,"CONU",49.5,NA,"-3.2","resprouting - 3 leaders; dogwood with big flowers",0,13
14,1,2.4,2.3,"ABCO",10.3,1.1,NA,"healthy",100,14
14,2,0.6,1.7,"ABCO",14.1,NA,"-2.7","healthy, brown needles",99,14
14,3,0,1.25,"ABCO",14.5,NA,"-4","brown needles, 2 leader twin with tree4",99,14
14,4,3.2,2.7,"ABCO",14.6,NA,"-4.5","flaglets",97,14
14,5,28.9,1.7,"ABCO",14.9,NA,"-2.7","Btop, wood borers, SD, FS",0,14
14,6,1.2,1.85,"ABCO",14.9,0.1,NA,"brown needles",99,14
14,7,46,22.1,"ABCO",16.1,3.5,NA,"SD, Btop, FS",0,14
14,8,19.1,12.3,"CADE",27.4,NA,"-3.4","SD, FS",0,14
14,9,43.9,11.7,"ABCO",28,NA,"-1.89","SD, FS",0,14
14,10,12.4,10.9,"CADE",28.2,NA,"-3.45","SD, FS",0,14
14,11,24.8,13.6,"CADE",28.4,NA,"-3.75","SD, FS",0,14
14,12,4.3,3.1,"ABCO",29.1,NA,"-0.4","healthy",100,14
14,13,1.7,2.1,"ABCO",29.3,0.45,NA,"healthy",99,14
14,14,3.9,4.2,"ABCO",28.1,2.3,NA,"healthy",99,14
14,15,3.6,3.8,"ABCO",28.4,3.4,NA,"healthy",99,14
14,16,1.1,1.9,"ABCO",28.8,2.7,NA,"Two leaders",98,14
14,17,1.4,1.8,"ABCO",29.4,1.6,NA,"healthy",99,14
14,18,34.3,6.4,"CADE",28.5,3.5,NA,"SD, Btop",0,14
14,19,2.1,2.2,"ABCO",34.7,1.1,NA,"healthy",99,14
14,20,13.6,11.9,"CADE",41.9,2.1,NA,"SD, FS 10 m",0,14
14,21,52.3,26.8,"CADE",45.6,1.57,NA,"SD, FS 20 m",0,14
14,22,18.6,12.7,"CADE",49.2,3.6,NA,"SD, FS 8 m",0,14
15,1,57.2,21.2,"ABCO",3.6,NA,"-3.5","SD, FS 20+m, charred",0,15
15,2,31.5,19.7,"ABCO",6.4,3.6,NA,"SD, FS 15+m, charred, broken top",0,15
15,3,0,1.3,"QUKE",7.8,2.8,NA,"healthy",99,15
15,4,19.3,20.7,"QUKE",7.8,3.1,NA,"SD, FS",0,15
15,5,4.2,6.3,"QUKE",7.9,3.7,NA,"healthy",99,15
15,6,5.5,9.2,"QUKE",8.3,3.7,NA,"healthy",98,15
15,7,25.8,19.6,"QUKE",8.4,3.7,NA,"SD, FS",0,15
15,8,35.8,20.2,"QUKE",8.2,4,NA,"SD, FS",0,15
15,9,5.1,11.4,"QUKE",8.6,4,NA,"healthy",99,15
15,10,6,12.6,"QUKE",8.4,4.2,NA,"healthy",99,15
15,11,5.5,10.9,"QUKE",8.5,4.2,NA,"flaglets, brown leaves",98,15
15,12,6.2,11.1,"QUKE",8.9,4.2,NA,"healthy",99,15
15,13,2.9,3.4,"QUKE",8.3,4.2,NA,"healthy",99,15
15,14,43.1,22.9,"QUKE",8.1,2.8,NA,"SD, FS",0,15
15,15,4,5.3,"QUKE",8.2,4.7,NA,"healthy",99,15
15,16,7.3,7.8,"QUKE",8.9,3.9,NA,"healthy",99,15
15,17,4.9,6.1,"QUKE",9.6,4.8,NA,"healthy",99,15
15,18,21.9,10.8,"CADE",24.9,1.25,NA,"SD, FS",0,15
15,19,5.2,7.8,"QUKE",26.2,NA,"-3.05","healthy",99,15
15,20,6.2,8.1,"QUKE",26.24,NA,"-3.35","healthy",99,15
15,21,31.6,15.3,"QUKE",26.3,NA,"-3.52","SD, lean, 2 leaders",0,15
15,22,5.4,8.7,"QUKE",26.6,NA,"-4.07","healthy",99,15
15,23,5.8,10.1,"QUKE",26.67,NA,"-2.8","healthy",99,15
15,24,4.3,7.4,"QUKE",26.9,NA,"-2.85","healthy",99,15
15,25,5.7,9.2,"QUKE",26.8,NA,"-3.33","healthy",99,15
15,26,5,9.9,"QUKE",27.4,NA,"-3.82","healthy",99,15
15,27,21.1,18.2,"CADE",27.6,NA,"-3.1","SD, FS, lean",0,15
15,28,43.9,7.1,"ABCO",29.3,2.5,NA,"WP, WB, FS, broken top",0,15
15,29,20.4,12.6,"CADE",31.1,NA,"-0.01","SD, FS, charred",0,15
15,30,5.1,3.6,"PIPO",37.7,NA,"-1.95","mech",99,15
15,31,52.8,19.9,"ABCO",39.4,NA,"-1.4","SD, BT, FS",0,15
15,32,16.2,15.1,"CADE",40.2,NA,"-1.1","SD, BT, FS, lean",0,15
15,33,15.7,4.8,"ABCO",38.7,NA,"-0.5","SD, BT, FS, lean",0,15
15,34,1.9,1.95,"PIPO",37.9,1.6,NA,"brown needles",99,15
15,35,76.3,15.7,"ABCO",38.6,3.1,NA,"SD, BT, FS, WB",0,15
15,36,77.4,36.4,"ABCO",39.2,4.25,NA,"SD, BT, FS, WB",0,15
15,37,0,1.31,"ABCO",40.6,2.5,NA,"mech",98,15
16,1,81.5,40.1,"ABCO",11.3,NA,"-3.46","lean, mech, 13m fire scar, multiple leaders",98,16
16,2,90.9,18.9,"ABCO",29.7,NA,"-1.4","FS, SD, broken top",0,16
16,3,51.9,31.2,"ABCO",30.1,NA,"-1.6","FS, SD, Abgr, lean",0,16
16,4,44,4.2,"ABCO",29,NA,"-2","SD, FS, broken top",0,16
17,1,23.2,3.1,"ABCO",3.5,NA,"-0.4","SD, broke",0,17
17,2,1.4,1.6,"PIPO",5.1,NA,"-1.4",NA,94,17
17,3,0,1.1,"PIPO",5.1,NA,"-2.9",NA,95,17
17,4,27.5,13.5,"PSME",11.2,NA,"-2.6","SD",0,17
17,5,0,1.3,"PIPO",13.6,NA,"-2.9","multiple leader, WF, NM, lots of yellowing, mech",87,17
17,6,0,1.1,"ABCO",15.6,NA,"-5","2 leaders",99,17
17,7,0,1.1,"ABCO",16.8,NA,"-4.9",NA,98,17
17,8,85.8,6.6,"PSME",16.3,0.9,NA,"SD, broke",0,17
17,9,19,2.5,"ABCO",13.6,4.6,NA,"SD, broke",0,17
17,10,0,1.2,"PIPO",28.4,1.3,NA,NA,95,17
17,11,2.5,2,"PIPO",27,3.8,NA,"2 leaders",97,17
17,12,28.9,5,"PSME",30.3,NA,"-3.7","fungus, WP, broke",0,17
17,13,27.8,5.5,"PSME",30.5,NA,"-1.1","WP, SD, broke, fungus",0,17
17,14,0,1.1,"ABCO",32.3,NA,"-4.8","crook",99,17
17,15,0.5,1.4,"ABCO",32.8,NA,"-3.6",NA,99,17
17,16,0,1,"ABCO",32.9,NA,"-4.9",NA,98,17
17,17,0,1,"ABCO",32.3,NA,"-5",NA,100,17
17,18,0,1.1,"ABCO",39.9,NA,"-3.9",NA,97,17
17,19,0,1.3,"ABCO",39.6,NA,"-3.8","a little mech",98,17
17,20,0.7,1.5,"PIPO",35.8,NA,"-3.3","WF, NM, a lot of yellowing",87,17
17,21,0,1,"PIPO",36.3,NA,"-4.7","WF",98,17
17,22,1,1.5,"PIPO",36.3,NA,"-3.6","WF, yellowing needles",95,17
17,23,1.8,1.9,"PIPO",36.8,NA,"-3.8","WF, yellowing needles, NM",96,17
17,24,0.2,1.4,"PIPO",40,NA,"-4.7","DBH taken around needles, WF, NM",97,17
17,25,0.8,1.5,"PIPO",40.1,NA,"-4.9","WF",98,17
17,26,0,1,"PIPO",42.3,NA,"-1.4","WF, snowmold?",96,17
17,27,0.2,1.4,"PIPO",43.2,NA,"-1.6","DBH taken around needles, WF, NM",95,17
17,28,23.6,10.6,"CADE",43.6,NA,"-3.9","SD",0,17
17,29,0,1.35,"PIPO",45.5,NA,"-2.1","WF",97,17
17,30,0,1.3,"PIPO",46.4,NA,"-3.3","WF, yellowing because suppressed",93,17
17,31,0,1,"PIPO",47.4,2.8,NA,NA,97,17
17,32,0,1.3,"PIPO",45.4,2.5,NA,"curlicue needles, photo JEC (3:29pm), NM, WF",94,17
17,33,0,1.3,"PIPO",44.7,1.2,NA,"2 leaders, bluish, WF, NM",95,17
17,34,0,1,"PIPO",44.7,1.6,NA,"yelllow-green, WF, NM",96,17
17,35,0.2,1.4,"PIPO",44.6,4,NA,"WF, NM",95,17
17,36,1.2,1.5,"PIPO",44.1,2.4,NA,"WF, NM",94,17
17,37,1.2,1.8,"PIPO",43.1,5,NA,"NM, WF, multiple leaders",95,17
17,38,1.3,1.7,"PIPO",43.6,5,NA,"WF, NM",93,17
17,39,29.7,2,"ABCO",41.9,0.3,NA,"SD, broke, fungus",0,17
17,40,0,1,"PIPO",42.5,3.4,NA,"NM, WF",94,17
17,41,1.3,1.7,"PIPO",41.1,4.2,NA,"NM, WF",95,17
17,42,0.2,1.4,"PIPO",41.4,0.8,NA,"NM, WF",95,17
17,43,0.9,1.4,"PIPO",41.9,4.7,NA,"curly needles, WF, NM",97,17
17,44,0,1.3,"PIPO",41.9,4.6,NA,"NM, WF",96,17
17,45,1.5,1.9,"PIPO",40.6,1.2,NA,NA,94,17
17,46,100.4,24.5,"PIPO",39.9,2.3,NA,"SD, broke, bald, DEVA and DEPO? pitch tubes",0,17
17,47,0.7,1.5,"PIPO",40.2,4.5,NA,"WF, NM",95,17
17,48,17.1,15.8,"PSME",39.5,0.2,NA,"SD",0,17
17,49,1.1,1.5,"PIPO",38.8,0.4,NA,"sparse, WF, NM",95,17
17,50,1.3,1.4,"PIPO",38.6,3.6,NA,"NM, WF, old fork",93,17
17,51,0.4,1.4,"PIPO",38.5,4.3,NA,"NM, WF",95,17
17,52,1.8,1.5,"PIPO",37.5,4.8,NA,"NM, WF",96,17
17,53,0.2,1.4,"PIPO",37.5,3.8,NA,"2 leaders, WF, NM",95,17
17,54,1.1,1.5,"PIPO",36.8,4.6,NA,"multi leaders, WF, NM",96,17
17,55,1.1,1.4,"PIPO",36.8,3.9,NA,"ants :(, WF",93,17
17,56,0,1.35,"ABCO",36.8,4.5,NA,NA,99,17
17,57,1.7,1.5,"PIPO",37.3,0.7,NA,"WF, NM",97,17
17,58,0,1.2,"PIPO",37,0.1,NA,"WF, NM",95,17
17,59,1.2,1.5,"PIPO",37,0.1,NA,"WF, NM",95,17
17,60,0,1,"ABCO",36.2,0.7,NA,NA,98,17
17,61,1.2,1.5,"PIPO",36.3,2.9,NA,"NM, WF",99,17
17,62,0.9,1.5,"PIPO",35.4,2.6,NA,"mult leaders, curly needles",95,17
17,63,0,1.1,"PIPO",35.3,1.2,NA,NA,98,17
17,64,0,1.2,"ABCO",39.7,3.2,NA,NA,98,17
17,65,0.8,1.6,"PIPO",34.8,1.8,NA,"WF, NM, fuzzy white stuff possibly scale",94,17
17,66,1,1.6,"PIPO",34.6,1.7,NA,NA,95,17
17,67,0,1.3,"PIPO",33.9,4.1,NA,"curly needles, WF, NM",97,17
17,68,0,1.3,"PIPO",33.7,1,NA,NA,95,17
17,69,0.9,1.7,"PIPO",33.5,3,NA,"curly needles, mulitple leaders, WF, NM",92,17
17,70,1.2,1.6,"PIPO",33.7,2.6,NA,"multiple leaders, WF, NM",94,17
17,71,0,1.3,"PIPO",33.7,1.8,NA,"WF, NM",96,17
17,72,1.1,1.6,"PIPO",32.4,3.4,NA,"WF",95,17
17,73,2.2,1.9,"PIPO",32.4,3.1,NA,"multiple leaders, mech , WF, NM",94,17
17,74,1.4,1.8,"PIPO",31.7,3.7,NA,"WF, NM",95,17
17,75,2.6,2.1,"PIPO",31.3,4.7,NA,"multiple leaders, WF, NM",96,17
18,1,57.1,25.4,"CADE",40.1,2.43,NA,"FS 3 m, flaglets",98,18
18,2,48.2,16.8,"CADE",39.5,2.83,NA,"FS 6 m, flaglets, Btop",95,18
18,3,37.4,21.5,"ABCO",40.1,NA,"-3.33","healthy",99,18
18,4,74,30.7,"PIPO",34.05,3.85,NA,"FS 8 m, pitch from FS, flaglets",98,18
18,5,68.3,28.6,"PIPO",32.9,NA,"-2.48","mistle toe?, flaglet, mech, FS 3 m",99,18
18,6,67.6,26.7,"PIPO",26.7,NA,"-4.13","FS 5 m, flaglets",99,18
19,2,52.6,3,"ABCO",15.8,10.2,NA,"almost no bark",0,19
19,3,1.4,1.5,"ABCO",11.1,19.1,NA,NA,98,19
19,4,36.8,1.9,"ABMA",12.8,20.5,NA,"wood borers galleries",0,19
19,5,64.5,5.6,"ABMA",10.1,22.3,NA,"wood borers galleries",0,19
19,6,0,1.1,"ABMA",22.7,0.2,NA,"sparse at top",98,19
19,7,0.6,1.39,"ABMA",25.9,0.5,NA,NA,98,19
19,8,0,1.35,"ABMA",26.1,1.3,NA,"mech",100,19
19,9,0.6,1.5,"ABMA",26.5,8,NA,"brooming",99,19
19,10,0,1.22,"ABMA",26.9,5.4,NA,NA,99,19
19,11,0,1.1,"ABMA",26.7,4.2,NA,NA,99,19
19,12,1.4,1.55,"ABMA",28.2,12.2,NA,"Next to PILA",100,19
19,13,50.9,2,"ABCO",29,1.7,NA,"Twin stem w/ 14",0,19
19,14,51,2.5,"ABCO",29,1.82,NA,"Twin stem w/ 13",0,19
19,15,0.3,1.37,"ABMA",30.6,0.8,NA,NA,96,19
19,16,0.5,1.52,"ABMA",30.9,8,NA,NA,98,19
19,17,1.5,1.5,"ABMA",32.4,8.1,NA,NA,99,19
19,18,0,1.1,"ABMA",31.2,9,NA,NA,100,19
19,19,0,1.36,"ABMA",31.8,9,NA,NA,100,19
19,20,33.6,3.3,"ABMA",32.1,1.1,NA,"wood borers galleries - broken off",0,19
19,21,0.7,1.4,"ABMA",32.4,2.85,NA,"brooming",98,19
19,22,0,1.32,"ABMA",34.6,11.5,NA,NA,98,19
19,23,2.2,1.8,"ABMA",45.3,11.6,NA,NA,100,19
19,24,0,1.05,"ABMA",45.2,12.1,NA,"section w/ tiny needles",99,19
19,25,0.6,1.51,"ABMA",45.6,11.7,NA,NA,100,19
19,26,0,1.32,"ABMA",45.9,11.9,NA,NA,99,19
19,27,0,1.34,"ABMA",45.7,11.4,NA,NA,100,19
19,28,0,1.32,"ABMA",46.1,11.9,NA,NA,100,19
